fig|381124.6.peg.10243	GRMZM2G108418	GRMZM2G108418_T01
fig|381124.6.peg.10244	GRMZM2G075775	GRMZM2G075775_T01
fig|381124.6.peg.10245	GRMZM2G082087	GRMZM2G082087_T02
fig|381124.6.peg.10246	GRMZM2G024959	GRMZM2G024959_T01
fig|381124.6.peg.10247	GRMZM2G127812	GRMZM2G127812_T01
fig|381124.6.peg.10248	GRMZM2G127850	GRMZM2G127850_T01
fig|381124.6.peg.10249	GRMZM2G463968	GRMZM2G463968_T01
fig|381124.6.peg.1025	GRMZM2G522155	GRMZM2G522155_T01
fig|381124.6.peg.10250	GRMZM2G016039	GRMZM2G016039_T01
fig|381124.6.peg.10251	GRMZM2G135089	GRMZM2G135089_T01
fig|381124.6.peg.10252	GRMZM2G037941	GRMZM2G037941_T01
fig|381124.6.peg.10253	GRMZM2G502868	GRMZM2G502868_T01
fig|381124.6.peg.10254	GRMZM2G038046	GRMZM2G038046_T01
fig|381124.6.peg.10255	GRMZM2G151639	GRMZM2G151639_T01
fig|381124.6.peg.10256	GRMZM2G045854	GRMZM2G045854_T01
fig|381124.6.peg.10257	AC203001.3_FG001	AC203001.3_FGT001
fig|381124.6.peg.10258	AC197145.4_FG001	AC197145.4_FGT001
fig|381124.6.peg.10259	GRMZM5G838910	GRMZM5G838910_T04
fig|381124.6.peg.1026	GRMZM5G895692	GRMZM5G895692_T01
fig|381124.6.peg.10260	GRMZM2G038108	GRMZM2G038108_T01
fig|381124.6.peg.10261	AC217270.3_FG003	AC217270.3_FGT003
fig|381124.6.peg.10262	AC217270.3_FG004	AC217270.3_FGT004
fig|381124.6.peg.10263	GRMZM2G005646	GRMZM2G005646_T01
fig|381124.6.peg.10264	GRMZM2G002440	GRMZM2G002440_T01
fig|381124.6.peg.10265	GRMZM2G516883	GRMZM2G516883_T01
fig|381124.6.peg.10266	GRMZM2G055331	GRMZM2G055331_T01
fig|381124.6.peg.10267	GRMZM2G169207	GRMZM2G169207_T01
fig|381124.6.peg.10268	GRMZM2G010834	GRMZM2G010834_T01
fig|381124.6.peg.10269	GRMZM2G438007	GRMZM2G438007_T01
fig|381124.6.peg.1027	GRMZM2G376416	GRMZM2G376416_T02
fig|381124.6.peg.10270	GRMZM2G437977	GRMZM2G437977_T01
fig|381124.6.peg.10271	GRMZM2G389303	GRMZM2G389303_T01
fig|381124.6.peg.10272	GRMZM2G365423	GRMZM2G365423_T01
fig|381124.6.peg.10273	AC192368.3_FG009	AC192368.3_FGT009
fig|381124.6.peg.10274	GRMZM2G348301	GRMZM2G348301_T01
fig|381124.6.peg.10275	GRMZM2G348307	GRMZM2G348307_T01
fig|381124.6.peg.10276	GRMZM2G136067	GRMZM2G136067_T01
fig|381124.6.peg.10277	GRMZM2G012412	GRMZM2G012412_T01
fig|381124.6.peg.10278	GRMZM2G310652	GRMZM2G310652_T02
fig|381124.6.peg.10279	GRMZM2G494910	GRMZM2G494910_T01
fig|381124.6.peg.1028	AC204377.3_FG001	AC204377.3_FGT001
fig|381124.6.peg.10280	GRMZM2G459614	GRMZM2G459614_T01
