fig|4558.4.peg.10367	Sb06g001890	Sb06g001890.1
fig|4558.4.peg.10368	Sb06g001900	Sb06g001900.1
fig|4558.4.peg.10369	Sb06g001910	Sb06g001910.1
fig|4558.4.peg.1037	Sb10g008913	Sb10g008913.1
fig|4558.4.peg.10370	Sb06g001920	Sb06g001920.1
fig|4558.4.peg.10371	Sb06g001930	Sb06g001930.1
fig|4558.4.peg.10372	Sb06g001940	Sb06g001940.1
fig|4558.4.peg.10373	Sb06g001950	Sb06g001950.1
fig|4558.4.peg.10374	Sb06g001955	Sb06g001955.1
fig|4558.4.peg.10375	Sb06g001960	Sb06g001960.1
fig|4558.4.peg.10376	Sb06g001970	Sb06g001970.1
fig|4558.4.peg.10377	Sb06g001980	Sb06g001980.1
fig|4558.4.peg.10378	Sb06g001990	Sb06g001990.1
fig|4558.4.peg.10379	Sb06g002000	Sb06g002000.1
fig|4558.4.peg.1038	Sb10g008916	Sb10g008916.1
fig|4558.4.peg.10380	Sb06g002005	Sb06g002005.1
fig|4558.4.peg.10381	Sb06g002010	Sb06g002010.1
fig|4558.4.peg.10382	Sb06g002013	Sb06g002013.1
fig|4558.4.peg.10383	Sb06g002016	Sb06g002016.1
fig|4558.4.peg.10384	Sb06g002020	Sb06g002020.1
fig|4558.4.peg.10385	Sb06g002025	Sb06g002025.1
fig|4558.4.peg.10386	Sb06g002030	Sb06g002030.1
fig|4558.4.peg.10387	Sb06g002040	Sb06g002040.1
fig|4558.4.peg.10388	Sb06g002050	Sb06g002050.1
fig|4558.4.peg.10389	Sb06g002060	Sb06g002060.1
fig|4558.4.peg.1039	Sb10g008920	Sb10g008920.1
fig|4558.4.peg.10390	Sb06g002065	Sb06g002065.1
